deadline,wantedTitle,workPlcNm,plDetAddr,etcItm,emplymShp,frDd,toDd,oranNm,stmNm,clltPrnnum,clerk,clerkContt,homepage
접수중,온라인쇼핑몰 및 SNS관리 및 3D프린팅 운영보조 인턴채용[디자인계열 전공자 채용],전라남도 목포시,"58730 전라남도 목포시 영산로 118, 9층 소셜워크2호 ","고용촉진장려금대상자, 운전면허증, 장애인, 차량소지자 ",기타,20240412,20240430,주식회사 서정코리아,워크넷,1,서정철,061-280-0501,https://smartstore.naver.com/3d-art
접수중,[정규직] 총무/관리담당 경력직 채용공고 (취약계층 우대),전라남도 목포시,"58730 전라남도 목포시 영산로 118, 9층 소셜워크2호 ","고용촉진장려금대상자, 보훈취업지원대상자, 북한이탈주민, 운전면허증, 장기복무 제대군인, 장애인, 차량소지자 우대사항 : 취약계층
1. 저소득층
2. 장애인
3. 1년 이상(구직신청일 기준) 장기실직자
4. 결혼이민자
5. 북한이탈주민
6. 위기청소년
7. 성매매 피해자
8. 한부모가족 지원법에 의한 보호대상자",기타,20240412,20240501,주식회사 서정코리아,워크넷,1,서정철,061-280-0501,https://smartstore.naver.com/3d-art
접수중,봇들마을6단지 아파트 미화원 구인(복지카드우대),인천광역시 미추홀구,"22239 인천광역시 미추홀구 인주대로496번길 15, 1층 1호 (주안동, 부흥빌딩)","(준)고령자(50세이상), 장애인 ",기타,20240412,20240426,주식회사 인성종합관리,워크넷,1,신규현,,
접수중,회계 총무 사무원 구함 [울주군청 채용대행],울산광역시 울주군,"44917 울산광역시 울주군 범서읍 관문로 656, 베이커스 비오비 ","운전면허증, 장애인, 차량소지자 ",기타,20240412,20240610,베이커스 비오비,워크넷,1,황희,052-204-1377,
접수중,정말 쉽고 재미있는 화물콜센터 직원 구합니다,경기도 화성시,"18405 경기도 화성시 효행로 1056, 4층 603호 (병점동, 탑프라자)","고용촉진장려금대상자, 장애인 지원금대상자 우대합니다 (국민취업제도)",기타,20240412,20240426,에스제이로지스,워크넷,3,이성일,,
접수중,군포 당동주공3단지 아파트 미화원 채용합니다.(장애인등록증 또는 장애인복지카드 소지자 우대),서울특별시 영등포구,07275 서울특별시 영등포구 영등포로 21 (양평동2가),"(준)고령자(50세이상), 고용촉진장려금대상자, 보훈취업지원대상자, 장애인 ",기타,20240412,20240430,엘림에스(유),워크넷,1,이윤필,02-6082-5457,
접수중,아파트 내부 미화원 구인(주안동),인천광역시 남동구,"21653 인천광역시 남동구 논고개로123번길 17, 808호 (논현동)","(준)고령자(50세이상), 장애인 ",시간제 일자리,20240412,20240611,（주）비엠에스종합개발,워크넷,1,박기용,,
접수중,[동우농산] 남/녀 견과류 생산직원 채용 (셔틀버스 광주시내운행),경기도 광주시,"12730 경기도 광주시 초월읍 무갑길124번길 14-7, 동우농산(주) ","고용촉진장려금대상자, 고용허가제, 장애인 ",기타,20240412,20240607,동우농산(주),워크넷,4,안선애,070-8808-4059,www.greennuts.com
접수중,[긴급] 구립 송정동데이케어센터 오후 운전원 채용,서울특별시 성동구,"04800 서울특별시 성동구 송정18가길 9, 3층 구립송정동데이케어센터 (송정동, 송정동 공공복합청사)","고용촉진장려금대상자, 운전면허증, 장애인 ",시간제 일자리,20240412,20240424,구립송정동데이케어센터,워크넷,1,류시혁,02-6952-1001,
접수중,관악구 봉천동 숲속마을 인헌아파트 관리소장 구인[급구],서울특별시 구로구,"08394 서울특별시 구로구 디지털로 242, 210호 (구로동, 한화비즈메트로1차)","(준)고령자(50세이상), 장애인 ",기타,20240412,20240426,(주)세연종합관리,워크넷,1,장경선,070-7777-3539,
접수중,"제주노형동 예쁨주의쁨의원 주말(토,일) 미화원구함",부산광역시 사상구,"46971 부산광역시 사상구 광장로 20, 3층 301호 (괘법동)","(준)고령자(50세이상), 장애인 ",시간제 일자리,20240412,20240429,주식회사비씨에스,워크넷,1,도현우,064-805-5111,
접수중,경기도지체장애인협회 구리시지회 직원채용,경기도 구리시,"11915 경기도 구리시 동구릉로136번길 57, 별관2층 (인창동, 경기도지체장애인협회구리시지회)","운전면허증, 장애인 ",기타,20240412,20240418,사）한국지체장애인협회경기도협회구리시지회,워크넷,1,임성덕,031-560-5875,
접수중,담양군 교통약자이동지원센터(장애인콜택시)  운전원 모집,전라남도 담양군,57348 전라남도 담양군 담양읍 천변5길 63 ,"운전면허증, 장애인 ",기타,20240412,20240610,전남지체장애인협회담양군지회,워크넷,3,여운복,061-381-3124,
접수중,한국폴리텍대학 바이오캠퍼스 기간제근로자(행정지원직_ 육아휴직대체인력) 채용공고,충청남도 논산시,32943 충청남도 논산시 강경읍 동안로112번길 48 ,"보훈취업지원대상자, 장애인 ",기타,20240412,20240414,한국폴리텍대학바이오캠퍼스,워크넷,1,정주영,041-746-7323,http://bio.kopo.ac.kr/
접수중,한국폴리텍대학 바이오캠퍼스 무기계약직원 (대학운영직-조리사) 채용 공고,충청남도 논산시,32943 충청남도 논산시 강경읍 동안로112번길 48 ,"보훈취업지원대상자, 장애인 ",기타,20240412,20240421,한국폴리텍대학바이오캠퍼스,워크넷,1,정주영,041-746-8888,http://bio.kopo.ac.kr/
접수중,【관악고용센터 만남의날 행사】★★[중동실업(주)] 카카오T 블루 택시기사 모집★★,서울특별시 강서구,07538 서울특별시 강서구 양천로75길 24 (염창동),"운전면허증, 장애인 ",시간제 일자리,20240411,20240417,중동실업(주),워크넷,30,신재천,02-3282-9234,
접수중,다산한양수자인리버팰리스아파트 미화원 / 지하청소 / 복지카드 소지자 우대 (급구),경기도 평택시,"17915 경기도 평택시 조개터로6번길 31-13 (합정동, 은혜빌딩)",장애인 복지카드소지자우대,기타,20240411,20240430,주식회사제일엔에스,워크넷,3,이경택,031-668-8854,
접수중,한강파크뷰 우방아이유쉘 미화원 구인,서울특별시 영등포구,"07281 서울특별시 영등포구 선유로9길 10 (문래동6가, 문래 SK V1 center)","(준)고령자(50세이상), 장애인 ",시간제 일자리,20240411,20240610,(주)두원에이앤씨,워크넷,1,박태종,02-865-5025,
접수중,고양시장애인종합복지관 사무원(기간제 근로자) 채용 공고,경기도 고양시,"10239 경기도 고양시 일산서구 탄현로 139, 1층 (탄현동)","보훈취업지원대상자, 장애인 ",기타,20240411,20240423,고양시장애인종합복지관,워크넷,1,신혜용,031-929-1411,www.goyangrehab.or.kr
접수중,[역북동] 푸르지오아파트 실내미화원 채용,서울특별시 성북구,"02831 서울특별시 성북구 성북로4길 52, 스카이상가 동관1층 (돈암동, 한신한진아파트)","고용촉진장려금대상자, 보훈취업지원대상자, 운전면허증, 장애인 ",기타,20240411,20240510,승인산업주식회사,워크넷,1,정병천,,
접수중,2024년 제4차 국립국제교육원 공무직 근로자(행정원) 채용 공고(제주 1명),경기도 성남시,13557 경기도 성남시 분당구 정자일로 191 (정자동),"장애인 1. 국가기관, 지방자치단체, 공공 기관 관련분야 실무 경력자
2. 오피스 프로그램 자격증 소지자 우대",기타,20240411,20240417,국립국제교육원,워크넷,1,류혜숙,02-3668-1348,
접수중,주간 경비원 모집(울진 읍남 건설 현장),대전광역시 유성구,"34186 대전광역시 유성구 대학로 34, 218-219호 (봉명동, 노블레스타워)","장기복무 제대군인, 장애인, 차량소지자 현장 경비 유경험자
근무바로가능자
일반경비원 신임교육 이수자(교육 이수증 소지자)",기타,20240411,20240426,이레토탈서비스주식회사,워크넷,1,양원석,042-822-9470,
접수중,케어링 주간보호 센터 부산 기장점 작업치료사 모집,부산광역시 기장군,"46048 부산광역시 기장군 일광읍 해빛1로 99, 4층, 5층, 6층 601호, 602호 (JK대성타워)",장애인 ,기타,20240411,20240517,케어링 주간보호센터 부산 기장점,워크넷,1,박성복,051-760-7212,
접수중,케어링 주간보호 센터 부산 기장점 간호조무사 모집,부산광역시 기장군,"46048 부산광역시 기장군 일광읍 해빛1로 99, 4층, 5층, 6층 601호, 602호 (JK대성타워)",장애인 ,기타,20240411,20240517,케어링 주간보호센터 부산 기장점,워크넷,1,박성복,051-760-7212,
접수중,장애인활동지원사 채용 공고 -(부평구),인천광역시 중구,"22376 인천광역시 중구 영종대로162번길 37, 201호 (운서동, 메이폴오피스텔)",장애인 ,시간제 일자리,20240411,20240430,사단법인 꿈꾸는 마을,워크넷,1,신영미,032-751-1823,
접수중,베로니스 5차 아파트 경비원 모집 (서초구),서울특별시 금천구,"08595 서울특별시 금천구 범안로 1130, 1111호, 209호 (가산동, 디지털엠파이어빌딩)","(준)고령자(50세이상), 고용촉진장려금대상자, 보훈취업지원대상자, 장애인 경증 복지카드 소지자 우대",기타,20240411,20240423,성화개발（주）,워크넷,1,길준오,02-2624-2256,
접수중,UI 디자인 / 시각디자인 / 웹디자인 등에 관심 많은 신입 직원 채용합니다.,경기도 파주시,"10881 경기도 파주시 회동길 77-4 (문발동, 경세원 파주사옥)","고용촉진장려금대상자, 운전면허증, 장애인, 차량소지자 ",시간제 일자리,20240411,20240601,시에스타,워크넷,1,전상현,02-783-1232,https://www.siestadesign.co.kr/
접수중,부평신성미소지움아파트 미화원 모집,인천광역시 남동구,"21542 인천광역시 남동구 호구포로 868 (구월동, 대한주택빌딩401호)","(준)고령자(50세이상), 장애인 ",시간제 일자리,20240411,20240425,(주)크린텍종합관리,워크넷,1,조영희,032-469-7757,
접수중,힐스테이트 뉴포레 아파트 미화원 모집 (관악구-구로디지털단지역 부근),서울특별시 금천구,"08595 서울특별시 금천구 범안로 1130, 1111호, 209호 (가산동, 디지털엠파이어빌딩)","(준)고령자(50세이상), 고용촉진장려금대상자, 장애인 복지카드 소지자(경증)",기타,20240411,20240425,성화개발（주）,워크넷,1,길준오,02-2624-2256,
접수중,아파트 설비기사 모집,전북특별자치도 익산시,"54555 전북특별자치도 익산시 무왕로25길 21 (부송동, 예린빌딩)","고용촉진장려금대상자, 장애인 ",기타,20240411,20240510,(주)서영주택관리,워크넷,1,이창곤,063-843-2412,http://www.seoyoung.co.kr
접수중,"2024년 제2차 경기도사회서비스원 대체인력 직원 공개채용 재공고 평택,안성 사회복지시설에서 근무",경기도 여주시,12620 경기도 여주시 청심로 197-8 ,"보훈취업지원대상자, 장애인 ",기타,20240411,20240419,경기도사회서비스원,워크넷,1,안혜영,031-778-8818,gg.pass.or.kr
접수중,부평3주구 현대 아파트 미화원(내부) 구인 (복지카드 우대),인천광역시 미추홀구,"22239 인천광역시 미추홀구 인주대로496번길 15, 1층 1호 (주안동, 부흥빌딩)","(준)고령자(50세이상), 장애인 ",기타,20240411,20240425,주식회사 인성종합관리,워크넷,1,신규현,,
접수중,아파트 청소원 모집 (장애인 병행 채용),전라북도 군산시,"54033 전라북도 군산시 경촌3길 23, 103동 8호 (경암동, 새한아파트상가)","(준)고령자(50세이상), 고용촉진장려금대상자, 장애인 ",시간제 일자리,20240411,20240610,유한회사 백산,워크넷,1,석명수,063-443-0997,http://
접수중,중증장애인들과 함께 가치를 만들 인재를 찾습니다,대전광역시 중구,"35074 대전광역시 중구 산서로50번길 39, 1층 (사정동)",장애인 ,시간제 일자리,20240411,20240525,호두나무장애인보호작업장,워크넷,1,송희성,070-7806-4557,
접수중,생산직 작업자 모집 공고 (프레스 오퍼레이터),충청남도 천안시,"31223 충청남도 천안시 동남구 광덕면 차령고개로 729, 천일정공(주) ","(준)고령자(50세이상), 운전면허증, 장애인, 차량소지자 경력자 우대",기타,20240411,20240426,천일정공주식회사,워크넷,2,김학봉,041-620-7486,
접수중,향남 신명스카이뷰 아파트 미화원 모집,경기도 화성시,18340 경기도 화성시 배양길 53-6 (배양동),"(준)고령자(50세이상), 장애인 ",시간제 일자리,20240411,20240521,그린코리아주식회사,워크넷,1,유용섭,,
접수중,양덕삼구트리니엔2차 경비원 채용합니다,경상북도 포항시,"37583 경상북도 포항시 북구 장량로18번길 39-1, 2층 (장성동)",장애인 ,기타,20240411,20240419,주식회사영일에이치오엠,워크넷,1,차창섭,070-7204-7587,
접수중,경주 우성한빛타운1차 미화원 채용합니다.,경상북도 포항시,"37583 경상북도 포항시 북구 장량로18번길 39-1, 2층 (장성동)",장애인 ,기타,20240411,20240419,주식회사영일에이치오엠,워크넷,1,차창섭,054-251-8811,
접수중,정읍 첨단 LH1단지 아파트 경비원 채용합니다.(장애인등록증 또는 장애인복지카드 소지자 우대),서울특별시 영등포구,07275 서울특별시 영등포구 영등포로 21 (양평동2가),"(준)고령자(50세이상), 고용촉진장려금대상자, 보훈취업지원대상자, 장애인 ",기타,20240409,20240430,엘림에스(유),워크넷,1,이윤필,02-6082-5457,
접수중,[2024년 김포시 채용박람회 참여 업체] 시내버스 운전원 모집(무료 기숙사),경기도 김포시,"10023 경기도 김포시 월곶면 김포대로 2600, 2층 ",장애인 ,기타,20240409,20240608,선진상운주식회사,워크넷,30,신재호,031-980-5971,
접수중,[2024년 김포시 채용박람회 참여 업체] 맞춤형 버스 운전원 모집,경기도 김포시,"10023 경기도 김포시 월곶면 김포대로 2600, 2층 ",장애인 ,기타,20240409,20240608,선진상운주식회사,워크넷,30,신재호,031-980-5971,
접수중,[기업탐방 희망버스 참여기업]항공기부품 조립원 모집(B787),경상남도 김해시,50875 경상남도 김해시 진례면 테크노밸리로 12 ,"운전면허증, 장애인, 차량소지자 ",기타,20240409,20240423,케이피항공산업(주),워크넷,10,김종판,055-330-3427,http://www.airkpc.com
접수중,아파트 경비원 모집,전북특별자치도 익산시,"54555 전북특별자치도 익산시 무왕로25길 21 (부송동, 예린빌딩)","고용촉진장려금대상자, 장애인 ",기타,20240409,20240511,(주)서영주택관리,워크넷,1,이창곤,063-843-2412,http://www.seoyoung.co.kr
접수중,국민은행 인천원당지점 청경 보안요원 채용(5/1 배치예정),서울특별시 강서구,"07807 서울특별시 강서구 마곡중앙1로 20, 6층 612호 (마곡동, 마곡엠시그니처)","운전면허증, 장애인 1. 친절하고 밝은 성격
2. 경비원 신임교육 이수자
3. 청원 경찰 등 은행 보안 유경력자",기타,20240409,20240430,케이에스피앤주식회사,워크넷,1,심재정,,
접수중,국민은행 구로구청사거리지점 청경 보안요원 채용(5/1 배치예정),서울특별시 강서구,"07807 서울특별시 강서구 마곡중앙1로 20, 6층 612호 (마곡동, 마곡엠시그니처)","운전면허증, 장애인 1. 친절하고 밝은 성격
2. 경비원 신임교육 이수자
3. 청원 경찰 등 은행 보안 유경력자",기타,20240409,20240430,케이에스피앤주식회사,워크넷,1,심재정,,
접수중,국민은행 화곡동지점 청경 보안요원 채용(5/1 배치예정),서울특별시 강서구,"07807 서울특별시 강서구 마곡중앙1로 20, 6층 612호 (마곡동, 마곡엠시그니처)","운전면허증, 장애인 1. 친절하고 밝은 성격
2. 경비원 신임교육 이수자
3. 청원 경찰 등 은행 보안 유경력자",기타,20240409,20240430,케이에스피앤주식회사,워크넷,1,심재정,,
접수중,장량휴먼시아1단지 미화원 채용합니다.,경상북도 포항시,"37583 경상북도 포항시 북구 장량로18번길 39-1, 2층 (장성동)",장애인 ,기타,20240409,20240415,주식회사영일에이치오엠,워크넷,1,차창섭,054-251-8811,
접수중,단순생산직 모집,경상북도 영천시,38829 경상북도 영천시 언하공단4길 17 (망정동),"고용촉진장려금대상자, 고용허가제, 장애인, 차량소지자 ",기타,20240409,20240603,주식회사 화윤,워크넷,1,김태화,054-706-8700,
접수중,성폭력상담소 상담원 2차 모집공고,경상남도 창원시,"51722 경상남도 창원시 마산합포구 오동동10길 56, 8층 804호 (오동동, 가고파오피스텔804호 ~ 805호)","운전면허증, 장애인, 차량소지자 ",기타,20240409,20240424,경남여성장애인 성폭력상담소,워크넷,1,송순임,055-241-5041,gndaws.or.kr
접수중,롯데마트맥스 영등포점 미화 직원 모집,서울특별시 영등포구,"07333 서울특별시 영등포구 여의대방로 379, 909호 (여의도동, 제일빌딩)","(준)고령자(50세이상), 장애인 ",기타,20240409,20240430,주식회사건은,워크넷,1,권건춘,02-780-0558,www.kuneun.co.kr
접수중,판금 CAD/CAM 프로그램 (배열/전개) 직원을 모집,경기도 화성시,18516 경기도 화성시 정남면 괘랑2길17번길 48 ,"운전면허증, 장애인, 차량소지자 ",기타,20240409,20240423,유니스텍주식회사,워크넷,2,박종배,031-354-4359,www.unistech.co.kr
접수중,[경기도 사업 일환] 노인복지관 보조사업 '냉장고를 부탁해' 전담인력 채용,경기도 의정부시,"11652 경기도 의정부시 경의로85번길 16-12, 의정부노인종합복지관 (의정부동)","(준)고령자(50세이상), 장애인 ",시간제 일자리,20240409,20240415,의정부노인종합복지관,워크넷,1,최종록,031-826-0742,www.uswc4u.or.kr
접수중,[부천신중동역] 미화원 모집 (1명),서울특별시 성동구,"04735 서울특별시 성동구 한림말길 41-21, 2층 (옥수동, 삼오빌딩)","(준)고령자(50세이상), 고용촉진장려금대상자, 장애인 ",기타,20240409,20240608,(주)삼오관리,워크넷,1,권선영,,
접수중,현대중공업내 족장(비계) 안전시설 설치/해체 단순 보조 인원 모집(야간),울산광역시 동구,44032 울산광역시 동구 방어진순환도로 1000 (전하동),"(준)고령자(50세이상), 고용촉진장려금대상자, 고용허가제, 보훈취업지원대상자, 북한이탈주민, 장애인 ",기타,20240409,20240430,주식회사 태영엔지니어링,워크넷,4,김광석,052-201-7425,
접수중,다온마을 쌍용 스윗닷홈 아파트 내부미화원 구인 (복지카드 우대),인천광역시 미추홀구,"22239 인천광역시 미추홀구 인주대로496번길 15, 1층 1호 (주안동, 부흥빌딩)","(준)고령자(50세이상), 장애인 ",시간제 일자리,20240409,20240423,주식회사 인성종합관리,워크넷,1,신규현,,
접수중,(주)사조대림 함안 칠서공장 환경 수질 관리 시설 조작원 모집 (연 4500 전후)/(교대근무)/(자격무관),경상남도 함안군,52009 경상남도 함안군 칠서면 대부로 510 ,"고용촉진장려금대상자, 보훈취업지원대상자, 북한이탈주민, 운전면허증, 장애인, 차량소지자 자가용 출퇴근 가능자 (차량 소지자)",기타,20240409,20240426,주식회사사조대림칠서공장,워크넷,1,김상훈,055-589-2322,http://www.sajo.co.kr/
접수중,"[시흥시 일자리센터 채용대행] 거모유호아파트 미화반장,",경기도 안양시,"13968 경기도 안양시 만안구 안양로 503, 301호. (석수동)",장애인 ,기타,20240409,20240608,삼우서비스주식회사,워크넷,1,김성용,031-496-1974,
접수중,신규직원 채용 공고(사회복지사),대전광역시 유성구,"34186 대전광역시 유성구 온천로 59 (봉명동, 동아벤처타워)","운전면허증, 장애인 ",기타,20240409,20240423,유성장애인자립생활센터,워크넷,1,남성우,070-4420-0031,
접수중,소하7단지아파트 외곽청소원 모집,경기도 안양시,14003 경기도 안양시 만안구 양화로14번길 22 ,"(준)고령자(50세이상), 장애인 ",기타,20240409,20240608,(주)대원,워크넷,1,임석진,02-2680-6713,
접수중,[인크루트회사] 서울역인근 청소미화원 모집,서울특별시 성동구,"04735 서울특별시 성동구 한림말길 41-21, 2층 (옥수동, 삼오빌딩)","(준)고령자(50세이상), 고용촉진장려금대상자, 장애인 ",기타,20240409,20240608,(주)삼오관리,워크넷,1,권선영,,
접수중,병원 조리원 모집합니다,경기도 부천시,"14555 경기도 부천시 원미구 부천로198번길 27, 일부 (춘의동, 서림테크노파크I)",장애인 ,기타,20240409,20240608,뉴보은주식회사,워크넷,1,손명자,070-4440-0437,
접수중,[지앤티솔루션] 모빌리티사업본부 UTIC 운영팀 모니터링 팀원 모집(주말근무자),서울특별시 중구,"04512 서울특별시 중구 세종대로 23 (남대문로5가, 창화빌딩)","(준)고령자(50세이상), 북한이탈주민, 장애인 ",기타,20240409,20240608,(주)지앤티솔루션,워크넷,1,강상철,070-7123-8817,www.gntsolution.com
접수중,서울시립상이군경복지관 직원 채용 재공고(사회복지사),서울특별시 노원구,"01772 서울특별시 노원구 덕릉로70가길 73, 서울시립상이군경복지관 (상계동)","고용촉진장려금대상자, 보훈취업지원대상자, 운전면허증, 장애인 ○ 상이군경 당사자, 취업지원 대상자, 장애인
○ 컴퓨터 활용능력 우수자
○ 운전면허 소지 및 운전 가능자
○ 사회복지시설 지역연계사업, 후원·자원봉사 업무 경력자

※장애인 학대 및 성범죄/ 아동학대/ 노인학대 범죄전력이 있는 분은 지원할 수 없습니다.
※기타 자세한 내용은 서울시립상이군경복지관 홈페이지 채용공고 참고.",기타,20240409,20240424,서울시립상이군경복지관,워크넷,1,홍흥근,02-935-6375,www.kdvowelfare.or.kr
접수중,자동차 정비원,인천광역시 부평구,21457 인천광역시 부평구 일신로 93 (일신동),"(준)고령자(50세이상), 고용촉진장려금대상자, 고용허가제, 운전면허증, 장애인 ",기타,20240409,20240608,경동적재함,워크넷,2,송춘섭,,
접수중,조리사 직원채용 공고,강원특별자치도 강릉시,"25576 강원특별자치도 강릉시 강변로 510, 입암3주공@ 관리사무소 2층 강릉종합사회복지관 (입암동)","고용촉진장려금대상자, 보훈취업지원대상자, 운전면허증, 장애인 ",기타,20240409,20240424,강릉종합사회복지관,워크넷,1,류제완,070-5173-1495,www.gssw.or.kr
접수중,성남여고 인근(수진역) 요양보호사 구인,경기도 성남시,"13509 경기도 성남시 분당구 새나리로 65, 보재재가복지센터 (야탑동)","(준)고령자(50세이상), 고용촉진장려금대상자, 보훈취업지원대상자, 장애인, 차량소지자 근거리자우대",시간제 일자리,20240409,20240430,보배재가복지센터,워크넷,1,정승민,070-5015-0177,http://www.보배재가복지센터.com
접수중,2024년 안성시 아이돌봄지원사업 아이돌보미 1차 채용 공고 (양성교육 수료자),경기도 안성시,17590 경기도 안성시 산수유길 15 (봉남동),"운전면허증, 장애인 ",기타,20240408,20240422,안성시건강가정·다문화가족지원센터,워크넷,10,임선희,031-674-0130,
접수중,[역삼동] 현대엔지니어링 오피스텔 건축현장 주간경비원 모집 (월 260만원) *근로계약기간 6개월 미만,서울특별시 서초구,"06532 서울특별시 서초구 신반포로45길 9-22 (잠원동, 천우빌딩)","(준)고령자(50세이상), 장기복무 제대군인, 장애인 1. 건설현장경비원 경력자
2. 건설현장관련 경력자
3. 경비원 근무 경력자",기타,20240408,20240430,(주)맥풍,워크넷,1,손영조,,www.hellomp.co.kr
접수중,"미래복지요양센터 요양보호사(남,여) 모십니다.",인천광역시 서구,22676 인천광역시 서구 드림로 227 (백석동),"(준)고령자(50세이상), 장애인 ",기타,20240408,20240422,미래복지요양센터,워크넷,5,전서현,032-540-8800,www.miraesc.or.kr
접수중,[채용] 과천시노인복지관(본관) 회계행정(휴직자대체인력) 모집 공고,경기도 과천시,13828 경기도 과천시 문원로 57 (문원동),"보훈취업지원대상자, 운전면허증, 장애인 * 우대사항: 운전면허 1종 대형 우대",기타,20240408,20240414,사회복지법인큰소망과천시노인복지관,워크넷,1,장현승,02-509-7663,http://www.gcsilver.or.kr
접수중,서울퍼스트병원에서 이송기사를 모집합니다.,서울특별시 관악구,"08716 서울특별시 관악구 은천로 51 (봉천동, 은호빌딩 2층~6층)",장애인 ,기타,20240408,20240423,서울퍼스트병원,워크넷,1,강남수,02-882-6900,www.sfhospital.co.kr
접수중,초롱꽃 마을10단지 아파트 내부미화원 모집,서울특별시 성북구,"02831 서울특별시 성북구 성북로4길 52, 스카이상가 동관1층 (돈암동, 한신한진아파트)","(준)고령자(50세이상), 보훈취업지원대상자, 북한이탈주민, 장애인 ",시간제 일자리,20240408,20240507,승인산업주식회사,워크넷,1,정병천,,
접수중,기술연구소 개발 경력자 모집(부문별 채용),부산광역시 강서구,"46752 부산광역시 강서구 녹산산단27로 135, 신동아이에스 (송정동)",장애인 ,기타,20240408,20240426,(주)신동아이에스,워크넷,5,이재형,070-4648-8652,
접수중,[삼성스토어 미아점] 미화 근무자 (1분) 모집,서울특별시 중구,"04542 서울특별시 중구 청계천로 100 (수표동, 동관)","(준)고령자(50세이상), 장애인 ",시간제 일자리,20240408,20240419,（주）삼구아이앤씨,워크넷,1,김형규,,http://www.samkoo.com/
접수중,구미동 무지개 건영 6단지 아파트 경비원 구인,서울특별시 송파구,"05613 서울특별시 송파구 백제고분로 279, 6층 (석촌동, 송파동산빌딩)","(준)고령자(50세이상), 장애인 ",기타,20240408,20240422,한국보안컨설팅(주),워크넷,1,김정길,,http://
