구인상태,사업장명,근무지역,직종,연령,성별,급여,근무시간,채용인원,근무내용,지원방법,지원서류,업종,종류,구인제목,근무형태,경력조건,접수마감
구인중,주식회사 라포르,구로구,아파트 청소원,~71세,여,월128만원,09:00~15:00,1명,"<주식회사 라포르>아파트 청소원 1명신도림4차e편한세상 아파트 청소 업무 / 신주없음 *경력 1년 이상 우대*월1,285,321원*주6일 09:00~15:00(휴게 1시간 30분), 토 09:00~12:00 / 도시락 싸오시면 / 휴게공간 별도 마련되어 있음*계약직(3개월) / 계약만료 후 상용직 전환 검토*근무지 서울특별시 구로구 경인로 65길 16-15 (신도림동) 신도림4차 e편한세상 아파트*여, ~71세",*상담사 알선 02-6220-8640,,,민간,구로구 아파트 청소원 모집,주6일,경력,모집 완료 시 마감
구인중,한국맥도날드유한회사,성동구 행당동,맥도날드 크루,무관,무관,"시급9,860원",12:00~18:00,10명,"맥도날드 한양대점 크루 모집 [채용사이트 바로가기]<한국맥도날드유한회사>맥도날드 크루 10명*햄버거 준비, 카운터 업무(손님응대), 라비 청소, 물건하역등*시급9860원*근무시간 주4일 12:00~18:00(휴게시간 15:00~15:30) / 3교대 근무 (주말근무 가능자)*계약직(시간제)*근무지 서울특별시 성동구 왕십리로 227 (행당동) 맥도날드 한양대점*성별, 연령무관",자사 홈페이지 지원,,,민간,성동구 행당동 맥도날드 크루 모집,주4일,무관,모집 완료 시 마감
구인중,서울지하철배송,서울시내,지하철 택배원,65세~80세,남,근무내용 참조,,1명,"<서울지하철배송>지하철 택배원 5명- 지하철을 활용한 물품 배송(보통 5kg, 최고 10kg) / 거리가 멀 경우 시외버스 등 활용함.*서울시민의 물품, 물건 배달 문의 시, 해당 요청에 따라 배송- 스마트폰 활용(지도활용가능자)*하루 최소 2건~최대6건*급여: 거리에 따라 상이(청계천 등 가까운 거리는 최소 8,000원부터) / 대전 등 10만원이며, 버스비 포함급여의 30%는 회사 / 70%은 본인  *주5일 또는 주6일 09:00~18:00 (공휴일, 일요일 쉼)*근무지 수도권 / 대전까지도 가기도 함 (면접 주소 : 서울 중구 청계천로 160번지 청계상가 다열 203호)*남, 65세~80세",*상담사 알선 02-6220-8640,,,민간,서울시내 지하철 택배원 모집,주5일,무관,모집 완료 시 마감
구인중,아진교통(주),도봉구 도봉동,구내식당 조리보조원,~66세,여,월200만원,04:30~19:00,1명,"<아진교통(주)>구내식당 조리보조원 1명*아진교통 구내 식당 조리 보조(조리사 자격증 무관)(심야버스 운행함에 따라 심야버스로 출근 가능하며, 거리가 멀 경우 일부(소급) 교통비 지원)*월200만원*격일(주말포함) 04:30~19:00(휴게시간 08:30~10:30, 14:30~16:30)*계약직(12개월)/ 연장 가능*근무지 서울특별시 도봉구 도봉산길 50 (도봉동) *여, ~66세",*상담사 알선 02-6220-8640,,,민간,도봉구 도봉동 구내식당 조리보조원 모집,격일,무관,모집 완료 시 마감
구인중,인덕종합관리(주),마포구 대흥동,오피스텔 청소원,~70세,여,월162만원,,1명,"<인덕종합관리(주)>*오피스텔 청소 업무*월1,628,000원*평일(일주일 단위로 퇴근 시간 다름(1주: 07:30~16:00, 2주: 07:30~18:00, 3주: 07:30~14:00), 토요일(3주에 1번 09:00 ~12:00)*계약직(12개월)*근무지 서울특별시 마포구 신촌로 170 (대흥동) 오피스텔*여, ~70세",*상담사 알선 02-6220-8640,,,민간,마포구 대흥동 오피스텔 청소원 모집,주6일,무관,모집 완료 시 마감
구인중,해피지하철택배퀵,서울시내 및 수도권,지하철 택배원,만65세 이상,무관,월평균 50만원 이상,,9명,"<해피지하철택배퀵>지하철 택배원 9명지하철을 이용한 택배 업무(서류, 샘플 등 5kg 이하 물품 배송)*채용 고려사항: 대중교통으로 이동이 원활한 체력 및 신체건강 상태스마트폰으로 길찾기(지도 앱) 사용 가능자 우대*월평균 50만원이상/최소 건당 7,000원부터(거리에 따라 상이, 수수료 80(본인)/20(회사))*근무시간 매일 06:00~22:00 사이(원하는 날짜에 원하는 시간만큼 자율 근무)*근무지 주된 근무지역은 서울시내이나, 경기, 인천 지역 포함될 수 있음*성별무관, 65세 이상",*상담사 알선 02-6220-8640,,,민간,서울시내 및 수도권 지하철 택배원 모집,,무관,모집 완료 시 마감
구인중,어린이의정원유치원,양천구 신정동,유치원 조리보조원,~63세,여,월160만원,09:00~15:00,1명,"<어린이의정원유치원>유치원 조리보조원 1명유치원 주방보조 및 급식 배식(원아 210명)영양사, 조리사, 조리보조원 1명씩 있음 / 경력 1년 이상 우대*업무내용: 주방보조 및 급식배식*월160만원*주5일09:00~15:00(휴게 1시간)*상용직*근무지 서울특별시 양천구 목동남로4길 6-46 어린이의정원유치원*여, ~63세",*상담사 알선 02-6220-8640,,,민간,양천구 신정동 유치원 조리보조원 모집,주5일,경력,모집 완료 시 마감
구인중,[한국문화재재단] 경비·보안·안내직 채용,서울 내 재단 사업장,경비보안,만60세 미만,남,"연봉27,923천원",,1명,"[한국문화재재단]경비·보안·안내직 채용 공고 홈페이지 바로가기홈페이지 공고 확인 후, 맨 아래 ""지원서 작성"" 통한 온라인 입사지원모집공고: 4/16~4/30 11:00 까지[한국문화재재단] 경비·보안·안내직 채용- 모집인원 1명 - 근로조건?격일 근로(감시단속적 근로자), 07:00∼익일 07:00?식사시간: 11:00∼12:00(점심), 17:00∼18:00(석식)?휴게시간: 23:00∼익일 06:00(7시간)- 기본연봉(급): 27,923천원- 주 근무지: 서울 내 재단사업장- 연령제한: 임용(예정)일 기준 재단 정년인 만 60세 미만인 자 / * 임용(예정)일: 2024. 6. 25.(화)",온라인 입사지원,,,민간,서울 내 재단 사업장 경비보안 모집,격일,무관,모집 완료 시 마감
구인중,씽씽준마지하철택배,"서울시내(주로 은평, 일산)",지하철 택배원,만65세 이상,남,월평균50만원 정도,08:00~18:00,3명,"<씽씽준마지하철 택배>지하철을 활용한 지하철 배달원 3명 채용*월~금 08:00~18:00 사이 근무(근무시간 면접시 조율)*근무시간에 따라 다르지만, 월평균 50만원 이상*건강하고 성실하신 길찾기 가능한자- 남대문이나 동대문 상가의 악세사리 및 가벼운 원단- 배달지역 서울시내(은평구, 일산 위주)- 근무시간 협의가능*직무내용 장소: 씽씽준마 지하철배송 (회사 위치 동대문, 종로)*근무지 (본사)  서울특별시 종로구 종로 258 (종로6가)  c-25호*하루 4건 정도 평균(2건씩 묶어서 가기도 함)*남성 만65세~, 건강하시면 연령제한 없으심",*상담사 알선 02-6220-8640,,,민간,"서울시내(주로 은평, 일산) 지하철 택배원 모집",,무관,모집 완료 시 마감
구인중,줌마지하철택배,서울 및 동대문역 인근,지하철택배원,만65세 이상,남,근무내용 참조,09:00~18:00,1명,"<줌마지하철택배>지하철택배원 2명*건강하고, 스마트폰 문자 보실 수 있는 분, 지하철을 이용한 소형물건 배송, 동대문역 주변 및 인근 지하철 택배 오더를 받아 물건 배송*급여 본인 7.5: 회사 2.5 / 최소 50만원~최대 120만원*주5일 09:00~18:00(토요일은 자유근무)*서울 및 동대문역 인근*남, 만 65세 이상",*상담사 알선 02-6220-8640,,,민간,서울 및 동대문역 인근 지하철택배원 모집,주5일,무관,모집 완료 시 마감
구인중,주식회사 대훈파킹,중구 수표동,주차 정산원,~75세,남,월206만원,09:00~19:00,3명,"<주식회사 대훈파킹>주차 정산원 3명*서울시 중구 청계천로 일대 주차장 정산(5면 관리) 업무*업무 내용: 스마트폰 활용하여 입출입차 확인 및 정산(카드, 현금 결제 등) *상용직*월206만원*주6일, 공휴일 휴무 / 09:00~19:00, 토 09:00~15:00*스마트폰 활용 가능자 우대*근무지 서울특별시 중구 청계천로 118 -1 (수표동)  (임의기재) 청계 노상공영주차장*남, 55세~75세",*상담사 알선 02-6220-8640,,,민간,중구 수표동 주차 정산원 모집,주6일,무관,모집 완료 시 마감
구인중,주식회사 쉬앤비,성동구 성수동,빌딩 미화관리원,~70세,여,월170만원,07:00~15:00,1명,"<주식회사 쉬엔비>빌딩 미화관리원빌딩 청소 업무*경력 3년 이상 우대 / 경력자 우대 *월170만원*주5일 07:00~15:00 (휴게 2시간)*계약직(12개월)*근무지 서울특별시 성동구 성수이로 148 (성수동) 쉬엔비 빌딩*여, ~70세",*상담사 알선 02-6220-8640,,,민간,성동구 성수동 빌딩 미화관리원 모집,주5일,경력,모집 완료 시 마감
구인중,주식회사 쉬앤비,성동구 성수동,빌딩 관리소장,~70세,남,월206만원,,1명,"<주식회사 쉬엔비>빌딩 관리소장 1명빌딩 관리 및 경비 업무*경력 10년 이상 필수, 경비교육 무관*월2,060,740원*주5일 오전조 07:00~16:00 / 오후조 13:00~22:00 / 2교대(2교대 예시: 1주 오전조 / 2주 오후조 / 3주 오전조 /4주 오후조)*계약직(12개월)*근무지 서울특별시 성동구 성수이로 148 (성수동) 쉬엔비 빌딩*남, ~70세",*상담사 알선 02-6220-8640,,,민간,성동구 성수동 빌딩 관리소장 모집,주5일,경력,모집 완료 시 마감
구인중,(주)풀무원,종로구 관훈동,시니어도슨트,만55세~65세,여,"시급10,000원",,1명,"<(주)풀무원>*업무: 김치박물관 도슨트 업무(내/외국인 대상 전시설명 및 해설, 안내)*전시 해설 경험이 있거나 평소에 박물관을 자주 다니고 좋아하는 분*박물관 특성상 외국인, 어린이 단체가 많이 방문합니다. 외국인 또는 어린이를 대상으로 근무 경력이 있는 분*계약기간: 6개월 / 초단시간 근무로 고용/산재 보험만 가입*근무시간: 주3~5일, 월별스케줄 조율(화~일, 주말포함근무함, 매주 월요일휴무)근무시간 10:00~13:00 또는 13:00~16:00, 일 3시간)을 원칙으로 하며, 소속된 사업부의 사정에 따라 별도로 정하거나 변경 될 수 있음.*시급 10,000원, 월40만원 내외*근무지: 서울시 종로구 인사동길 35-4 인사동마루 뮤지엄김치간*만 55세~65세(걷고 서있는데 문제가 없으면 그 이상도 가능)- 영어, 중국어, 일본어 중 1개 국어 회화 가능자 우대- 사회봉사 활동 유경험자 , 문화기관 활동 유경험자- 6개월 이상 경력자 우대<서류 접수 및 면접 일정 안내>- 접수마감: ~5/2(금) 까지- 1차 서류합격자 발표: 5/3(금)- 면접 예정일: 5/7(화)*이전 공고의 재공고가 아닌 신규 채용 공고임을 밝힙니다*",*상담사 알선 02-6220-8640,,,민간,종로구 관훈동 시니어도슨트 모집,,무관,모집 완료 시 마감
구인중,소중한 이치과,중구 순화동,치과 병원 청소원,~73세,여,"시급10,000원",,1명,"<소중한 이치과>치과 병원 청소원 1명*32평 치과 내부(진료실, 대기실, 바닥 등) 청소, 쓰레기통 주변 정리 및 분리수거 업무, 대기실 선반 청소 등*시급10,000원 / 주10시간으로, 보험미가입*주5일 08:00~10:00 또는 19:00~21:00 선택 가능*상용직*근무지 서울특별시 중구 서소문로 9길 28 (순화동) 덕수궁 롯데캐슬상가 120호*여, ~73세",*상담사 알선 02-6220-8640,,,민간,중구 순화동 치과 병원 청소원 모집,주5일,무관,모집 완료 시 마감
구인중,hy(한국야쿠르트),종로구 내,프래시매니저(프리랜서),~만60세,여,근무내용 참조,,2명,"<(주)에치와이> (구 한국야쿠르트)프래시매니저 2명*제품 배송 및 유동판매, 택배배송, 신용카드배송, 제품판매대금 수금, 고객관리 등 업무*자동차운전면허, 원동기 면허 우대(전동기 자격증 필요하나 hy에서 교육과 자격증 취득이 가능하도록 회사 자체적으로 지원 가능)*주5일(월~금), 1일 7시간 근무 / 시간 조율 필요, 프리랜서와 같은 개념이기 때문에 특수직으로 분류되어 고용, 산재보험만 적용됨*5개월 간 월 200만원, 5개월 이후 최저시급 9,860원 이상(월 / 역량에 따라 시간 판매 스킬에 따라 급여 상이*근무지 서울시 종로구 전체(인사동, 종각 등)*여, ~만60세",*상담사 알선 02-6220-8640,,,민간,종로구 내 프래시매니저(프리랜서) 모집,,무관,모집 완료 시 마감
구인중,용산노인종합복지관,용산구 한남동,조리원,만 63세 미만,무관,내용 참고,06:30~15:30,1명,"용산데이케어센터 신규직원(계약직 조리원) 채용공고1. 채용내용 및 근로조건   1) 채용내용     가. 채용분야 및 인원 : 조리원 총 1명 (계약직)     나. 응시자격 :       ① 만63세이하, 단체급식 조리경험 및 조리관련 자격증 소지자 우대       ② 학력, 성별, 경력제한 없음  2) 근로장소 : 용산데이케어센터 (서울시 용산구 독서당로 11 길 16)  3) 계약기간 및 근로시작 : 2024.05.01~2025.04.30/12개월/(2024.05.01부터 근무)  4) 근로시간 : 06:30~15:30(휴게시간 60분 포함)/주5일/공휴일 휴무)  5) 담당업무 : 입소자의 중,석식 조리, 주부식 및 음식관리, 메뉴개발 및 기타지원 업무등  6) 다음의 결격사유에 해당하지 않는 자가. 사회복지사업법에 따라 사회복지시설 종사자 결격사유에 해당되지 않는 자      (법 제 35 조의 2 제 2 항 )나. 범죄 및 성폭력범죄 조회,노인학대·장애인학대 범죄경력 조회 시 결격 사유가 없는 자※ 결격사유 해당 시 합격 및 고용 취소  7) 채용과정 : 시용계약 기간은 3 개월로써 시용기간 중 근무평정을 통하여 정규계약 진행※ 시용기간은 근속연수에 포함되며, 급여도 동일※ 월 급여 2,150,0000원(식대지원 포함)2. 채용방법 및 일정 (홈페이지 게시 및 개별연락 )  1) 채용방법: 1차(서류전형) 2차(면접전형)  2) 채용공고 및 원서접수 : 2024.4.03(수)~4.18.(목) 오후 12:00까지 도착분  3) 서류전형 합격자 발표 : 2024.4.19.(금) 예정(홈페이지 게시 및 개별연락)  4) 면접전형 및 최종합격자 발표 : 2024.4.23.(화) 예정  5) 채용일 : 2024.05.01.(수) 예정※ 합격자에 한하여 용산데이케어센터에서 요청하는 서류 제출 및 검토 후 최종 합격※ 상기 일정 및 인원은 사정에 따라 조정될 수 있습니다. (변경 시 사전공고 예정 )※ 1순위 채용적격자에 대한 채용취소 사유가 있을 경우 차순위 채용적격자가 채용될 수 있음 3. 서류전형 접수방법  1) 접수기간 : 2024.4.03.(수)~4.18(목) 오후12시까지 도착분  2) 접수방법 : 서류는 이메일(yongsandaycare@hanmail.net)로만 받습니다.  3)  지원서 이메일 제목은 (시설명)입사지원서_성명(채용분야)로 작성하여 보내주시면 됩니다.     (예) (용산데이케어센터)입사지원서_홍길동(조리원)  4) 제출서류   가. 이력서   나. 자기소개서   다. 개인정보제공?이용 동의서     ※ 라.~자. 서류는 채용 확정 시 제출     ※ 지원서류는 반드시 본 공고문에서 다운받으시기 바랍니다.   라. 최종학력증명서 1부   마. 경력증명서 1부   바. 자격증 사본 1부   사. 채용신체 건강검진 결과서 1부   아. 범죄경력 및 노인학대·장애인학대 범죄경력조회서 1부   자. 주민등록등본 1부, 주민등록초본 1부(남자인 경우)   5) 가점 및 우대요건   가. 국가유공자 등 예우 및 지원에 관한 법률 제29조에 의한 취업지원대상자는 이력서에 해당사항을   체크 해주시기 바랍니다.     - 취업취약계층 우선 선발(저소득층, 장애인, 장기실직자, 한부모가족, 북한이탈주민등)4. 직원 복리후생  1) 본인 또는 배우자 및 그 직계 존?비속의 경조사 발생 시 경조비 지원  2) 우수직원 포상  3) 명절 선물 지원  4) 각종 격려금 지원    ※ 위의 복리후생 내용은 기관의 사정에 따라 변경될 수 있음  9) 문의사항 : 용산데이케어센터 과장 박진수 02-794-7787채용공고 바로가기",이메일 지원,용산데이케어센터 채용공고문_2024년 4월_직원 채용조리원 공고 및 이력서 4.3.hwp,,민간,용산구 한남동 조리원 모집,,무관,모집 완료 시 마감
구인중,유니온화재특종손해사정(주),영등포구 양평동3가,경영지원 사무원,~59세,무관,"연봉2,800~3,800만원",09:00~18:00,2명,"<유니온화재특종손해사정(주)>경영지원 사무원 2명*인사, 총무, 경영지원, 경리 사무 업무*경력 3년 이상, 회계, 전산 관련 자격증 소지자 우대*의사소통 원활하신 분 희망*연봉 2,800~3,800만원(경력에 따른 협의) / (약 월233만원~316만원)*주5일 09:00~18:00(휴게 1시간)*상용직*근무지 서울특별시 영등포구 선유서로 117 (양평동3가) 유니온화재특종손해사정(주)*성별무관 ~59세",*상담사 알선 02-6220-8640,,,민간,영등포구 양평동3가 경영지원 사무원 모집,주5일,경력,모집 완료 시 마감
구인중,(주)창공엔지니어링,광진구 자양동,"도시가스 검침,점검원",~65세,무관,월245만원,07:00~18:00,1명,"<(주)창공엔지니어링>도시가스고객센터 코디(검침 점검원) 1명* (주)예스코 자양고객센터 코디업무- 도시가스 계량기 검침, 송달 및 사용시설 안전점검/기타민원 등- 경력무관, PDA 활용한 검침, 점검, 송달 업무- 광진구 관내 가정 및 업체방문- 도보나 자전거로 이동가능* 입사 후 직무교육 실시*월245만원 *주5일 1일 8시간 유연근무(07:00~18:00) / 연차를 사용하거나 특수한 상황인 경우 토요일에 근무할 수도 있음.*계약직 12개월*근무지 광진구 자양번영로5길 8  / 광진구 내 가정 및 업체방문*성별무관, 50~65세",*상담사 알선 02-6220-8640,,,민간,"광진구 자양동 도시가스 검침,점검원 모집",주5일,무관,모집 완료 시 마감
구인중,현대빌딩,강남구 청담동,빌딩 경비/주차관리원,~65세,남,월210만원+@주차비(발렛),07:00~23:00,1명,"<현대빌딩>경비 및 주차관리원 1명*청담역 인근 현대빌딩 경비 및 주차관리*경비신임교육 이수 및 자동차운전면허(1, 2종 무관) 필수, 경력 3년이상 필수*월210만원 + @ (주차비(발렛) 개인 수익)*격일제, 1일 근무(07:00~23:00/휴게 3시간) 후 1일 휴무*근무지 서울특별시 강남구 삼성로133길 14 (청담동) 현대빌딩 605호*남, ~65세",*상담사 알선 02-6220-8640,,,민간,강남구 청담동 빌딩 경비/주차관리원 모집,격일,경력,모집 완료 시 마감
구인중,지앤에프 청개구리,서울시내,지하철 택배원,65세 이상,무관,직무내용 참고,,10명,"<지앤에프 청개구리>지하철 택배원 10명*백화점 간 물류운송대행*백화점 내 의류, 악세사리, 시계, 선글라스 등 백화점 간에 부족한 사이즈/규격 등을 필요한 백화점으로 배송하는 업무*백화점 내 간판이 영어로 되어 있는 경우가 많아 영문 확인 가능해야 함(예시: 아디다스, 블랙야크 등)*월평균 100만원, 능력에 따라 상이 / 일평균 10건 이상*장애인병행 채용*주6일, 10:00~19:30 (8시간, 시간협의 가능)*근무지 서울 중구 을지로 28길 11 4층(사무실) -> 서울시 내에 있는 백화점*65세 이상, 경력무관",*상담사 알선 02-6220-8640,,,민간,서울시내 지하철 택배원 모집,,무관,모집 완료 시 마감
구인중,에이치디씨랩스(주),송파구 신천동,건물 경비원(복지카드소지자),~65세,남,연봉2911만원~2971만원,,1명,"<에이치디씨랩스(주)>건물 경비원 1명*루터회관 경비 업무(민원 응대, 순찰, 보안)지하 5층, 지상 24층 건물로, 1층 로비에서 근무*복지카드 소지 필수, 경비교육 필수, 경력무관*연봉29,112,000원~29,712,000원 (약 월242만원)*격일06:30~익일06:30(휴게시간 10시간)*상용직*근무지 서울특별시 송파구 올림픽로 35다길 42 루터회관*남, 55세~65세",*상담사 알선 02-6220-8640,,,민간,송파구 신천동 건물 경비원(복지카드소지자) 모집,격일,무관,모집 완료 시 마감
구인중,선양유치원,광진구 군자동,유치원 조리사,~65세,여,월230만원,09:00~17:00,1명,"<선양유치원>유치원 조리사 1명*유치원 내 유아 급식, 간식 조리 업무*조리사 자격증 소지자(양식, 한식 등 무관)*월230만원*주5일 09:00~17:00*상용직*근무지 서울특별시 광진구 동일로 256 (군자동) 선양유치원*여, ~65세",*상담사 알선 02-6220-8640,,,민간,광진구 군자동 유치원 조리사 모집,주5일,무관,모집 완료 시 마감
구인중,나라개발시스템주식회사,용산구 서빙고동,아파트 청소원,60세~73세,여,월128만원,09:00~14:33,1명,"<나라개발시스템주식회사>아파트 청소원 1명아파트 내부 미화(신주 있음, 총 15개동 1,326세대) 업무*복지카드 소지자 우대*월128만원*평일09:00~14:33(휴게 1시간), 격주토 09:00~12:00*계약직*근무지 서울특별시 용산구 이촌로 347 (서빙고동) 신동아아파트*여, 60세~73세",*상담사 알선 02-6220-8640,,,민간,용산구 서빙고동 아파트 청소원 모집,,무관,모집 완료 시 마감
구인중,한일휴니스빌 자치운영위원회,노원구 공릉동,오피스텔 관리원,~65세,남,월218만원,,1명,"<한일휴니스빌 자치운영위원회>오피스텔 관리원 1명*지하3층~지상19층 건물로, 총 180세대(주민 164세대, 상가 16세대)경비업무, 관리보조, 주차타워 주차관리(기계식 주차관리, 발렛 운전 X) 업무*경력 3년 이상 필수, 비교육 이수 필수, 기계식 주차관리교육 이수 필수*간단한 설비 보수 보조 가능자 우대*월218만원*격일 07:00~익일 07:00(휴게 10시간) / 휴게공간 별도 마련되어 있으며, 당직실은 관리사무소 사무실 내 위치*상용직*근무지 서울특별시 노원구 화랑로 421 (공릉동) 한일휴니스빌오피스텔*남, ~65세*근무 예정일 5/12(일)이며, 5/10(금) 인수인계 예정*지원자는 이력서 및 자기소개서 반드시 자필 작성 후 팩스 또는 이메일 접수",*상담사 알선 02-6220-8640,,,민간,노원구 공릉동 오피스텔 관리원 모집,격일,경력,모집 완료 시 마감
