구인제목,사업장명,업종,직종,채용인원,근무지역,근무내용,경력조건,필요경력,급여,근무시간,근무형태,접수마감,전형방법,지원방법
서울시립북부장애인종합복지관 육아휴직대체 사회복지사(계약직) 1명 (2024. 4. 29.(월) ~ 5. 14.(화) 18:00 도착분),서울시립북부장애인종합복지관,사회복지,사회복지사,1명,서울특별시 노원구 덕릉로70가길 92  (상계동) .,"육아휴직대체 사회복지사 1명
※ 근무기간: 1년 2개월 이내 변동 가능, 근로계약 시 안내",무관,,(월급) 234만원,09:00~18:00,주간,2024.05.14,기타,"기타( 이메일, 우편접수(마감일 도착분에 한함) )"
서울시립북부장애인종합복지관 중증장애인직업재활지원사업 전문인력(계약직) 1명(2024. 4. 29.(월) ~ 5. 14.(화) 18:00 도착분),서울시립북부장애인종합복지관,사회복지,사회복지사(사회복지시설),1명,서울특별시 노원구 덕릉로70가길 92  (상계동) .,중증장애인직업재활지원사업 장애인재활상담사 또는 사회복지사,무관,,(월급) 243만원,09:00~18:00,주간,2024.05.14,"서류 ,면접 ,기타","기타( 이메일(chamju@nate.com), 우편접수(마감일 도착분에 한함) )"
고양시 일산 탄현역/ 70대 여자 시각장애인 장애인활동지원사 모집,서울특별시시각장애인연합회,사회복지,장애인 생활지도원(장애인활동보조원 포함),1명,경기도 고양시 일산서구 탄중로101번길 36  (덕이동) 101,"고양시 서구/ 탄현역 근처/ 70대여자 시각장애인 / 월270시간/ 일~금, 주6일근무, 08:00~18:00 / 가사활동-반찬, 청소, 세탁, 사회활동- 출퇴근동행, 외출/ 외출시 의상코디도 센스있게 해주실주 있는 분

*장애인 활동지원사 이수증 필수",무관,,(시급) 12500원,08:00~18:00,주간,채용시까지(2개월이내),"면접 ,기타",기타( 전화상담 )
관악구 신림동/ 40대여자 시각장애인 장애인활동지원사 모집,서울특별시시각장애인연합회,사회복지,장애인 생활지도원(장애인활동보조원 포함),1명,서울특별시 관악구 신림로48길 17 -7 (신림동) 101,"관악구 신림동/ 40대 여자시각장애인/ 월210시간/ 월~금 주5일 / 7시50분 근무시작 / 가사활동-반찬,청소,  사회활동- 출퇴근 동행 / 요리잘 하시는 분,  인터넷검색 가능하신분(물건찾고 구매), 
*장애인 활동지원사 이수증 필수",무관,,(시급) 12500원,7:50~16:00,주간,채용시까지(2개월이내),기타,기타( 전화상담 )
동작50플러스센터 직원 채용 공고(중장년 인턴십 전담매니저),동작50+센터,사회복지,기타 사회복지 종사원,1명,서울특별시 동작구 노량진로 140  (노량진동) 메가스터디타워 2층,"○ 전담매니저
 - 사업 운영 및 행정업무 수행
 - 참여자 모집 · 선발 · 교육 · 활동 관리 
 - 참여기업 관리 및 모니터링",무관,,(월급) 239만원,09:00~18:00,주간,2024.05.14,"서류 ,면접",기타( 자사 이메일입사지원(지정양식) )
[채용공고]영등포노인종합복지관 정규직 사회복지사(과장 3급) 긴급 채용공고(24.04.29.(월 ) ~ 24.05.07.(목 )),영등포노인종합복지관,사회복지,사회복지사(사회복지시설),1명,서울특별시 영등포구 도림로 482  (문래동3가) 영등포노인종합복지관,"복지1과 총괄, 노인맞춤돌봄서비스 대표수행기관 네트워크, 연합특별행사, 복지관 사업계획 및 평가 총괄, 실습지도
1명·사회복지사(과장) / 정규직",경력,9년  0개월,"(월급) 300만원
								
							
							
						
					  
						상여금 : 120% -
							
							
							연봉 또는 월급에 미포함",09:00~18:00,주간,2024.05.07,"서류 ,면접","기타( 자사양식, 이메일접수(akablack@nate.com) )"
서울형 전임교사(비담임정교사) 채용,도담공동육아어린이집,사회복지,보육 교사,1명,서울특별시 도봉구 해등로34길 77  (방학동) 쌍문,"*근무형태: 5-6세 통합반 보조교사 근무하다가 교사가 연차를 쓰는경우 담임교사업무로 근무
09:00~18:00시 주5일(휴게시간 1시간)
월 2,172,600원(담임교사수당 280,000)

dobong-i@hanmail.net
이력서+지기소개서 메일지원
즉시 출근가능자",신입,,(월급) 217만원,09:00~18:00,주간,채용시까지(2개월이내),서류,전자우편( dobong-i@hanmail.net )
관악노인종합복지관 계약직 사회복지사(육아휴직대체인력) 채용,시립관악노인종합복지관,사회복지,사회복지사,1명,서울특별시 관악구 보라매로 35  (봉천동) 관악노인종합복지관,지역복지사업,무관,,(월급) 234만원,09:00~18:00,주간,2024.05.03,"서류 ,면접","기타( 자사양식, 이메일접수(gwanak8905@hanmail.net) )"
"[은천동 효,보살핌데이케어센터] 사회복지사 채용합나다.","효,보살핌데이케어센터",사회복지,사회복지사,1명,서울특별시 관악구 은천로 51,"[효,보살핌데이케어센터] 송영, 일반 사무 행정, 어르신 케어 외 
- 근무시간 : 09:00~18:00(휴게시간 : 12:30~13:30) 
- 급여 : 월 2,060,740원(면접 후 협의가능) 
** 접수방법 : 방문, 팩스(02-888-0084), 이메일(bosalpimdaycare@naver.com) 
* 운전 가능자",무관,,"(월급) 207만원
								
							
							
						
					  - 면접 후 협의가능 
						상여금 : 0% -
							
							
							연봉 또는 월급에 미포함",09~18,주간,채용시까지(2개월이내),"서류 ,면접","방문,기타( 전자우편 : bosalpimdaycare@naver.com )"
[원효로1가] 연장반 교사 모집,꿈나무어린이집,사회복지,보육 교사,1명,서울특별시 용산구 백범로 329  (원효로1가) 꿈나무어린이집,"[용산 꿈나무종합타운 어린이집 연장반 교사]

- 직무 : 연장반 아동 보육 및 귀가 지도 등

- 근무시간 : 15:00~19:30(휴게시간 15:10~15:40) / 주5일 근무 

- 급여 : 110만원

- 지원방법 : 통화 후 이력서 지참하여 방문 면접 또는 이메일 지원",무관,,"(월급) 110만원
								
							
							
						
					  
						상여금 : 0% -
							
							
							연봉 또는 월급에 미포함",15:00~19:30,주간,채용시까지(2개월이내),"서류 ,면접","방문,전자우편"
복지관 직원 채용 공고(2024-11차),시립남부장애인종합복지관,사회복지,사회복지사,1명,서울특별시 동작구 여의대방로20나길 40  (신대방동) 서울시립남부장애인종합복지관,"① 여가·가족지원팀 사회복지사(계약직)
 - 서울시장애인가족지원 거점복지관 연계사업 담당
 - 계약기간: 채용일로부터 1년
■ 사회복지사 자격증 소지자",무관,,"(월급) 234만원
								
							
							
						
					  - 면접 후 협의가능",09:00~18:00,주간,2024.05.10,"서류 ,면접","방문,우편,기타( 이메일: ilovenambu@daum.net )"
시립서울청소년센터 직원 (헬스트레이너) 채용,시립서울청소년센터,사회복지,청소년 지도사,○명,서울특별시 중구 을지로11길 23  (수표동) 시립서울청소년센터,"○ 헬스트레이너(팀원)
- 헬스장 운영담당 (헬스회원 지도 및 운영)

근무시간 : 주40시간 근무제 운영 (06:00 ~ 22:00)
- 오전 : 06:00 ~ 15:00 (※휴게시간 포함)
- 오후 : 13:00 ~ 22:00 (※휴게시간 포함)

※ 자세한 사항은 첨부된 채용공고문 또는 기관 홈페이지(http://www.youthc.or.kr/)에서 확인바랍니다.",무관,,(월급) 210만원,채용공고문 참조,기타,2024.05.10,"서류 ,면접",기타( 이메일 접수(zeuscommm123@nate.com) (지정양식) )
구로노인종합복지관 과장(3급) 채용 긴급 재공고,구로노인종합복지관,사회복지,사회복지사(사회복지시설),1명,서울특별시 구로구 새말로16길 7  (구로동) 구로노인종합복지관,"-노인종합복지관 과장 업무
-기타 복지관 사업에 필요한 업무",경력,8년  0개월,"(월급) 316만원
								
							
							
						
					  
						상여금 : 120% -
							
							
							연봉 또는 월급에 미포함",09:00~18:00,주간,2024.05.07,"서류 ,면접 ,신체검사",기타( 공고문 확인 후 이메일 접수 )
서울특별시립여성보호센터 사회복지사 채용 공고,서울특별시립 여성보호센터,사회복지,사회복지사(사회복지시설),1명,서울특별시 강남구 광평로34길 124  (수서동) 서울특별시립여성보호센터,"사회복지사 업무
프로그램 운영 및 관리",신입,,"(월급) 234만원
								
							
							
						
					  
						상여금 : 120% -
							
							
							연봉 또는 월급에 미포함",09:00~18:00,주간,2024.05.02,"서류 ,면접 ,기타","우편,전자우편,기타( 첨부파일 표준이력서 참조 )"
[신대방동] 참사랑재가복지센터 사회복지사 구인,참사랑 재가복지센터,사회복지,사회복지사,1명,서울특별시 동작구 대림로 30,"[신대방동] 참사랑재가복지센터 사회복지사 
- 수급자 방문하여 욕구사정, 요양보호사 업무내용 확인 관리
- 주 5일 근무(09:00~18:00), 주 40시간
- 급여 2,060,740원 
- 사회복지사 자격증 소지자

* 전화 후 방문 지원 010-3306-9522",무관,,"(월급) 206만원
								
							
							
						
					  
						상여금 : 0% -
							
							
							연봉 또는 월급에 미포함",09:00~18:00,주간,채용시까지(2개월이내),면접,"방문,기타( 010-3306-9522 )"
시립강동청소년센터 직원(청소년사업) 채용공고,시립강동청소년센터,사회복지,청소년 지도사,1명,서울특별시 강동구 아리수로93길 47  (강일동) 시립강동청소년센터,- 청소년활동 및 청소년동아리 운영,무관,,(월급) 207만원,09:00~18:00,주간,2024.05.02,서류,"온라인,기타( 첨부파일 공고문 및 지원서 확인 필수. )"
시립동부노인전문요양센터 사회복지사 채용공고(계약직)(긴급),시립동부노인전문요양센터,사회복지,사회복지사,1명,서울특별시 성동구 마장로23길 12  (홍익동) 시립동부노인전문요양센터,사례관리 및 복지업무 담당,무관,,"(월급) 240만원
								
							
							
						
					  - 면접 후 협의가능",09:00~18:00,주간,2024.05.01,"서류 ,면접","방문,전자우편,기타( 첨부파일 입사지원서 확인 필수 )"
[영등포구 신길동] 우리노인복지센터 사회복지사 구인,우리노인복지센터,사회복지,사회복지사,1명,"서울특별시 영등포구 대방천로 185 -1 (신길동) (2층,신길동)","[영등포구 신길동] 우리노인복지센터 사회복지사

- 수급자 방문하여 욕구사정, 요양보호사 업무내용 확인 관리
- 주 5일 근무(09:00~18:00), 주 40시간
- 급여 : 220만원(면접 후 협의가능)
- 사회복지사 2급 이상으로 경력 3년 이상 
- 문의 : 010-7510-0362",경력,3년  개월,"(월급) 220만원
								
							
							
						
					  - 면접 후 협의가능 
						상여금 : 0% -
							
							
							연봉 또는 월급에 미포함",09:00-18:00,주간,채용시까지(2개월이내),면접,"방문,팩스,기타( seosk0362@hanmail.net )"
"[채용] 공고 2024-12호 시립마포노인종합복지관 사회복지사(4급, 정규직) / 접수기간 : 4.24.(수)~5.9.(목) 14:00까지",시립마포노인종합복지관,사회복지,사회복지사(사회복지시설),1명,서울특별시 마포구 서강로 68  (창전동) 시립마포노인종합복지관,노인종합복지관 사회복지업무 전반,경력,3년  0개월,"(월급) 237만원
								
							
							
						
					  
						상여금 : 60% -
							
							
							연봉 또는 월급에 미포함",09:00~18:00,주간,2024.05.09,"서류 ,면접 ,기타",기타( 이메일 접수(mapo-recruit@hanmail.net) )
[긴급] 서울시립영등포보현종합지원센터 사회복지사 채용 긴급 재공고,서울시립영등포보현종합지원센터,사회복지,사회복지사,1명,서울특별시 영등포구 버드나루로 24  (영등포동2가) 서울시립영등포보현종합지원센터,"노숙인 복지서비스제공, 프로그램 사업, 당직근무 등",무관,,"(월급) 261만원
								
							
							
						
					  
						상여금 : 120% -
							
							
							연봉 또는 월급에 미포함",09~18,주간,2024.05.02,"서류 ,면접",기타( 첨부파일 자사 (지정양식) 이메일 입사지원 )
방문사회복지사모집,행복한재가노인복지센터,사회복지,사회복지사(사회복지시설),1명,서울특별시 동작구 만양로8길 64,"어르신방문업무(주업무) 및 서류업무
엑셀,워드필수
사회복지사2급이상 필수
월급:최저시급+교통비10+식비10",무관,,"(시급) 9860원
								
							
						
					  
						상여금 : 0% -
							
							
							연봉 또는 월급에 미포함",09:00~18:00,주간,채용시까지(2개월이내),"서류 ,면접","팩스,전자우편"
2024년 서울시립청소년자립지원관(혼합형) 야간보호상담원 채용 재공고(2024.04.23.(화) ~ 05.08.(수) 24:00까지),서울시립청소년자립지원관,사회복지,사회복지사,1명,서울특별시 도봉구 시루봉로15길 93  (방학동) 2동,"- 입소청소년 야간 안전관리 및 생활지도
- 사무업무 지원
- 그 밖에 야간보호활동에 필요한 업무 등",무관,,(시급) 11436원,22:00~익일 09:00,격일,2024.05.08,"서류 ,면접",기타( 자사 이메일 입사지원(지정양식) )
2024-7호 시립서대문농아인복지관 직원 채용 공고,시립서대문농아인복지관,사회복지,사회복지사,2명,서울특별시 서대문구 수색로4가길 23  (남가좌동) 남가좌동,붙임서류 참조,무관,,"(최소연봉) 3000만원
									
								
							
							
							
							
						
					  
						상여금 : 120% -
							
							연봉 또는 월급에 포함",09:00~18:00,주간,2024.05.08,"서류 ,면접","온라인,방문,기타( 이메일 접수(jysily@sdeaf.org) )"
[구로구 고척동] 60대 여자 시각장애인 장애인활동지원사 모집,서울특별시시각장애인연합회,사회복지,장애인 생활지도원(장애인활동보조원 포함),1명,서울특별시 구로구 중앙로1길 18 -19 (고척동) 101,"구로구 고척동/ 60대 여자 시각장애인/ 월 198시간/  
월~금 , 토요일 격주 근무 /  오전5:50~ 13:00,까지근무 (주1회는14:30분 퇴근)

활동지원사 차량필수, 운전가능한분/ 주로 사회활동_출퇴근 동행,  주1회 병원/   
*활동지원사 이수교육증 필수",신입,,(시급) 12500원,05:50~13:00,주간,채용시까지(2개월이내),기타,기타( 전화상담 )
서울시각장애인생활이동지원센터 행정사무원 모집 공고,서울시각장애인생활이동지원센터,사회복지,사회복지사(공공행정),1명,"서울특별시 동작구 상도로 216  (상도동) 인경빌딩 3, 4층","행정사무업무




※ 자세한 사항은 첨부된 채용공고문 또는 기관 홈페이지 https://kbucall.org/main.do 공지사항에서 확인바랍니다.",무관,,"(월급) 234만원
								
							
							
						
					  
						상여금 : 120% -
							
							
							연봉 또는 월급에 미포함",09:00~18:00,주간,2024.05.06,"서류 ,면접",기타( 이메일접수(kbuseoul2@hanmail.net) )
장애인 활동지원사 구인(중화동/지체장애인),한사랑노인복지센터,사회복지,장애인 생활지도원(장애인활동보조원 포함),1명,서울특별시 중랑구 동일로129길 35,"-중화2동 여성 지체장애인 40대 활동지원
-종합복지관, 삼육병원 재활치료 동해등의 (사회활동지원)
-07:00-15:00/주5일  
-시급12,500원",무관,,(시급) 12500원,07:00~15:00,주간,채용시까지(2개월이내),면접,기타( 유선통화 )
동대문구 답십리동/  60대여자 시각장애인 장애인활동지원사 모집,서울특별시시각장애인연합회,사회복지,장애인 생활지도원(장애인활동보조원 포함),1명,서울특별시 동대문구 답십리로 141  (답십리동) 101,"동대문구 답십리동/ 60대여자시각장애인/ 월90~100시간/ 월,수,금 9~17시 또는 10~18시 일8시간/  가사활동. 사회활동",무관,,(시급) 12500원,9:00~17:00,주간,채용시까지(2개월이내),기타,기타( 전화상담 )
[동작구 상도동 ] 사회복지사 경력자 구인,청남노인요양공동생활가정,사회복지,사회복지사,1명,서울특별시 동작구 강남초등8길 20,"[동작구 상도동] 청남노인요양공동생활가정 사회복지사 : 경력자    

* 회계서류 및 입소어르신 프로그램 담당   
* 급여 :  210만~220만원

** 이력서, 자기소개서 팩스 또는 이메일 접수  
-팩스 070-8981-6976 
-이메일 cjdskadydid@hanmail.net",경력,1년  개월,"(월급) 210만원
								
							
							
						
					  
						상여금 : 0% -
							
							
							연봉 또는 월급에 미포함",09:00~18:00,주간,채용시까지(2개월이내),"서류 ,면접","팩스,기타( 이메일 접수 cjdskadydid@hanmail.net )"
사회복지사  선생님 구합니다,강남동산 재가노인복지센터,사회복지,사회복지사,1명,서울특별시 강남구 논현로12길 23 -10 (개포동) 301호,"1.어르신 댁 정기적인 방문 및 상담
2.기관 관련 행정 서류 및 전화상담
3.기관 관련 상담 요청시 상담 등 
4.블러그 및 홈피 관리 등",경력,3년  개월,"(월급) 210만원
								
							
							
						
					  - 면접 후 협의가능",09:00~18:00,주간,채용시까지(2개월이내),"서류 ,면접",온라인
[화곡동] 재가센터 사회복지사 모집,좋은사람들재가요양복지센타,사회복지,사회복지사,1명,서울특별시 강서구 월정로 142,"-대상자 방문, 상담일지 작성, 사례관리, 요양보호사 관리 등
-09:00~18:00, 주5일
-월2,060,740원
-경력자 및  가능자 우대",신입,,"(월급) 207만원
								
							
							
						
					  
						상여금 : 0% -
							
							
							연봉 또는 월급에 미포함",09:00~18:00,주간,채용시까지(2개월이내),"서류 ,면접",기타( 전화 후 방문 )
서울형키즈카페 대방동점 운영요원 채용,서울동작구육아종합지원센터,사회복지,기타 사회복지 종사원,1명,서울특별시 동작구 여의대방로36길 11  (대방동) 4층 동작키즈카페 대방동점,"- 이용자 예약관리, 이용 상담, 육아 상담 및 정보제공 서비스
- 기타 구비 서류 및 행정 관리
- 시설 안전, 위생, 청결 관리
- 기타 육아종합지원센터에서 지정한 업무",무관,,"(월급) 242만원
								
							
							
						
					  
						상여금 : 60% -
							
							연봉 또는 월급에 포함",09:00~18:00,주간,2024.05.06,"서류 ,면접",기타( 자사 이메일입사지원(지정양식) )
서울특별시립 서부아동복지센터 상담지도원(육아휴직 대체) 채용 공고,서울특별시립 서부아동복지센터,사회복지,사회복지사,1명,서울특별시 은평구 백련산로14길 20 -11 (응암동) 서울특별시립 서부아동복지센터,"■ 아동 입퇴소 관리, 상담 및 사례관리 지원 등",무관,,"(월급) 246만원
								
							
							
						
					  - 면접 후 협의가능",09:00~18:00,주간,2024.05.05,"서류 ,면접 ,신체검사",기타( 자사 이메일입시지원(지정양식) )
[동작구 상도동] 상도종합사회복지관 서비스지원팀 사회복지사 모집 /접수마감 5월1일 16시까지,상도종합사회복지관,사회복지,사회복지사,1명,서울특별시 동작구 상도로39가길 7,"[동작구 상도동] 상도종합사회복지관 서비스지원팀 사회복지사 모집 /접수마감 5월1일 16시까지

- 사례관리팀 업무
- 급여: 월2.464.000원 (서울시 사회복지시설 종사자 인건비 지급기준에 따른 협의)
- 필수: 사회복지사 2급이상 자격소지자, 1종보통 운전면허 소지자(실제운전가능자)
- 우대: 사회복지시설 유경험자, 경력자

- 제출서류: 이력서 및 자기소개서(반드시 기관제공 양식작성 제출), 최종학교 졸업증명
서, 최종학교 성적증명서, 각종 자격증 사본, 경력증명서 각 1부
- 제출방법 : 우편, 내방, 이메일(happysangdo@nate.com) 접수
- 이력서 및 자기소개서 한글파일에 모든 자료를 첨부하여 하나의 파일로 제출할 것
- 지원서류 자사양식 첨부",무관,,"(월급) 246만원
								
							
							
						
					  
						상여금 : 0% -
							
							
							연봉 또는 월급에 미포함",09:00~18:00,주간,2024.05.01,"서류 ,면접","방문,우편,기타( 메일 happysangdo@nate.com )"
망원동] 재가센터 사회복지사 채용,참사랑재가센터,사회복지,사회복지사,1명,서울특별시 마포구 희우정로 100  (망원동) 302,"망원동 참사랑재가센터 사회복지사 업무
- 어르신댁 방문 및 요양보호사 관리
- 주5일 09-18시 / 월 210만원
- 차량유지비 및 식대 별도",무관,,"(월급) 210만원
								
							
							
						
					  
						상여금 : 0% -
							
							
							연봉 또는 월급에 미포함",09:00~18:00,주간,채용시까지(2개월이내),면접,"방문,기타( 전화 )"
